t,Corr0,Corr1,Corr2,Corr3,Corr4,Corr5,Corr6,Corr7,Corr8,Corr9,Corr10,Corr11,Corr12,Corr13,Corr14,Corr15,Corr16,Corr17,Corr18,Corr19,Corr20,Corr21,Corr22,Corr23,Corr24,Corr25,Corr26,Corr27,Corr28,Corr29,Corr30,Corr31,Corr32,Corr33,Corr34,Corr35,Corr36,Corr37,Corr38,Corr39,Corr40,Corr41,Corr42,Corr43,Corr44,Corr45,Corr46,Corr47,Corr48,Corr49,Corr50,Corr51,Corr52,Corr53,Corr54,Corr55,Corr56,Corr57,Corr58,Corr59,Corr60,Corr61,Corr62,Corr63,Corr64,Corr65,Corr66,Corr67,Corr68,Corr69,Corr70,Corr71,Corr72,Corr73,Corr74,Corr75,Corr76,Corr77,Corr78,Corr79,Corr80,Corr81,Corr82,Corr83,Corr84,Corr85,Corr86,Corr87,Corr88,Corr89,Corr90,Corr91,Corr92,Corr93,Corr94,Corr95,Corr96,Corr97,Corr98,Corr99
0.10101,0,0.289456,0.431607,0.524942,0.610548,0.686614,0.757189,0.823922,0.88642,0.944255,1,0.950967,0.907619,0.869616,0.83331,0.803688,0.775492,0.749982,0.727998,0.706656,0.685914,0.665533,0.652323,0.636824,0.619315,0.607876,0.59504,0.582899,0.57011,0.558801,0.547862,0.536581,0.524412,0.513071,0.506343,0.497679,0.485758,0.481712,0.474921,0.469894,0.466816,0.458067,0.453942,0.447864,0.440588,0.435351,0.425245,0.421572,0.410489,0.406342,0.401598,0.394502,0.387311,0.383413,0.37776,0.372595,0.368908,0.366139,0.361299,0.356011,0.351115,0.348077,0.344313,0.338954,0.336715,0.33164,0.332076,0.329103,0.325188,0.318916,0.315239,0.312788,0.308865,0.30452,0.301627,0.295767,0.294556,0.292132,0.290333,0.286988,0.282701,0.2786,0.279678,0.275062,0.273197,0.270187,0.269245,0.268691,0.266285,0.261891,0.257857,0.256043,0.252027,0.250999,0.246865,0.242083,0.238676,0.236127,0.231332,0.230772
0.111111,0,0.275625,0.41411,0.501808,0.582651,0.655898,0.72281,0.78575,0.843875,0.898985,0.950967,1,0.954058,0.913776,0.87749,0.845276,0.814198,0.787182,0.762688,0.740224,0.717732,0.697718,0.68297,0.666025,0.647761,0.634905,0.620792,0.607896,0.594787,0.582936,0.572342,0.560011,0.547575,0.53597,0.529119,0.519361,0.506501,0.501948,0.495214,0.488549,0.484645,0.475287,0.470566,0.462607,0.454718,0.448459,0.437684,0.4335,0.422649,0.418087,0.413866,0.406526,0.399785,0.395535,0.390295,0.384773,0.380916,0.378725,0.374071,0.368621,0.363527,0.35961,0.356016,0.349431,0.346895,0.341228,0.34104,0.338189,0.33385,0.327236,0.323449,0.321637,0.317711,0.313697,0.311156,0.305869,0.304645,0.302882,0.300731,0.297084,0.294094,0.28944,0.289863,0.285462,0.284123,0.281414,0.279911,0.279052,0.276769,0.271993,0.268275,0.266249,0.262232,0.260082,0.255893,0.25063,0.246331,0.244657,0.239708,0.239367
0.121212,0,0.263035,0.397517,0.481925,0.559475,0.62782,0.691705,0.753951,0.80646,0.858835,0.907619,0.954058,1,0.957245,0.919982,0.886372,0.854218,0.825163,0.800976,0.777658,0.754347,0.733613,0.718466,0.700947,0.681839,0.669592,0.654999,0.64045,0.626628,0.615517,0.605204,0.592816,0.579633,0.567452,0.558998,0.548506,0.536271,0.531179,0.524504,0.517479,0.513338,0.503119,0.498583,0.488634,0.480362,0.473672,0.462314,0.458484,0.447503,0.442305,0.437885,0.429034,0.421639,0.416629,0.410983,0.405567,0.401465,0.3995,0.393888,0.388999,0.383156,0.37894,0.374777,0.367167,0.363804,0.35802,0.35795,0.35536,0.351226,0.344634,0.340359,0.338059,0.335292,0.331027,0.328345,0.323732,0.322822,0.320867,0.31826,0.313495,0.310674,0.305284,0.305939,0.301582,0.299951,0.296422,0.295511,0.294392,0.29224,0.287175,0.283763,0.281716,0.277572,0.275337,0.270927,0.266211,0.261087,0.258718,0.253992,0.253468
0.131313,0,0.252194,0.382911,0.464394,0.53989,0.604032,0.665447,0.723283,0.773416,0.823392,0.869616,0.913776,0.957245,1,0.960656,0.92437,0.891863,0.862513,0.836619,0.813653,0.79017,0.767397,0.750987,0.732817,0.714992,0.700398,0.685546,0.669235,0.655017,0.64433,0.633652,0.619548,0.604899,0.592365,0.582897,0.572293,0.561026,0.556142,0.549011,0.540431,0.534963,0.525378,0.519689,0.510009,0.502417,0.495828,0.483744,0.480861,0.468962,0.463206,0.45844,0.449413,0.442975,0.437769,0.431981,0.427501,0.423524,0.421577,0.416202,0.411841,0.406394,0.401473,0.39762,0.389726,0.385461,0.379646,0.378948,0.376161,0.372167,0.365909,0.361898,0.359575,0.356787,0.350932,0.348254,0.343467,0.341799,0.338961,0.336144,0.330507,0.327019,0.321984,0.323281,0.319274,0.316927,0.312637,0.311129,0.310163,0.30788,0.302822,0.29838,0.29556,0.291757,0.290113,0.285887,0.280854,0.27525,0.272846,0.267766,0.267455
0.141414,0,0.246524,0.370107,0.447283,0.519115,0.580658,0.64001,0.694129,0.741905,0.788282,0.83331,0.87749,0.919982,0.960656,1,0.96228,0.928407,0.898135,0.870867,0.84625,0.822316,0.799629,0.78269,0.76532,0.747791,0.732684,0.717748,0.70104,0.684742,0.672237,0.661772,0.646927,0.632585,0.620519,0.610607,0.599761,0.5872,0.58187,0.574476,0.565301,0.558884,0.550297,0.543172,0.533311,0.525331,0.518213,0.506196,0.502668,0.492683,0.486433,0.480957,0.471811,0.464849,0.459803,0.453403,0.448566,0.444098,0.442463,0.437868,0.433129,0.427048,0.4227,0.419348,0.411081,0.406241,0.399632,0.398144,0.394872,0.390966,0.386125,0.381944,0.379037,0.375889,0.369178,0.366444,0.362201,0.35954,0.356355,0.352632,0.346943,0.342839,0.337911,0.338268,0.333763,0.33075,0.326524,0.325371,0.323729,0.321088,0.315428,0.310892,0.308426,0.304275,0.302274,0.297818,0.292672,0.286578,0.283824,0.278282,0.277393
0.151515,0,0.240856,0.359021,0.433584,0.503623,0.563017,0.618914,0.671225,0.716486,0.76194,0.803688,0.845276,0.886372,0.92437,0.96228,1,0.963894,0.932706,0.902961,0.877828,0.852937,0.828411,0.809834,0.791515,0.772475,0.755742,0.740247,0.72332,0.705389,0.691816,0.68125,0.665,0.65136,0.639016,0.628198,0.616275,0.602988,0.596789,0.589352,0.579844,0.573143,0.564619,0.557281,0.546745,0.537739,0.530362,0.518418,0.514785,0.50469,0.497539,0.492183,0.48279,0.475602,0.470447,0.463699,0.458652,0.454246,0.452394,0.447931,0.443581,0.436097,0.431969,0.428078,0.419589,0.414691,0.407052,0.405362,0.402346,0.398899,0.39395,0.388781,0.385009,0.382016,0.376079,0.373052,0.367901,0.365654,0.363024,0.359877,0.354553,0.349763,0.344889,0.344692,0.340493,0.338245,0.334518,0.332994,0.330634,0.327159,0.320754,0.316198,0.313443,0.309049,0.307161,0.302602,0.298147,0.29237,0.289358,0.282928,0.281534
0.161616,0,0.233188,0.348974,0.419217,0.488445,0.54644,0.597638,0.649111,0.693257,0.73627,0.775492,0.814198,0.854218,0.891863,0.928407,0.963894,1,0.967457,0.93696,0.910345,0.885195,0.859294,0.839955,0.820751,0.799611,0.782389,0.766404,0.749407,0.73142,0.718358,0.707319,0.690155,0.675663,0.662991,0.651425,0.639868,0.625362,0.619287,0.610926,0.601632,0.594035,0.584512,0.577112,0.566691,0.558923,0.551211,0.53896,0.534984,0.523638,0.515855,0.510023,0.50067,0.493151,0.487441,0.48157,0.476575,0.471706,0.469222,0.464436,0.458711,0.451059,0.446226,0.441828,0.433296,0.427949,0.419819,0.41844,0.414842,0.411439,0.407387,0.401968,0.397858,0.394401,0.388245,0.384802,0.379166,0.376747,0.373671,0.371037,0.365275,0.360604,0.355798,0.355781,0.351674,0.348661,0.344589,0.34319,0.340297,0.337415,0.330903,0.326697,0.323513,0.318784,0.317258,0.3129,0.307952,0.302354,0.298985,0.292298,0.290898
0.171717,0,0.226351,0.339028,0.403363,0.47129,0.531186,0.58189,0.630897,0.671986,0.712084,0.749982,0.787182,0.825163,0.862513,0.898135,0.932706,0.967457,1,0.969246,0.940743,0.914987,0.888209,0.867619,0.846864,0.825005,0.807908,0.791878,0.774278,0.756397,0.742134,0.729389,0.711922,0.696886,0.684155,0.672688,0.661927,0.646756,0.638961,0.630755,0.620378,0.612412,0.603612,0.59632,0.586073,0.577768,0.570454,0.557266,0.552867,0.540874,0.532892,0.526616,0.516178,0.508317,0.503993,0.498123,0.492757,0.487617,0.485287,0.479824,0.473745,0.466423,0.461875,0.457628,0.449697,0.444179,0.435809,0.434586,0.431071,0.428173,0.424148,0.418521,0.413806,0.410143,0.40446,0.400868,0.395199,0.392552,0.390092,0.387586,0.381295,0.376728,0.371766,0.371824,0.368573,0.365279,0.360899,0.359416,0.357345,0.353881,0.347466,0.343451,0.33968,0.335023,0.333799,0.329294,0.324355,0.319393,0.31587,0.309433,0.308015
0.181818,0,0.218835,0.328106,0.390159,0.456164,0.5129,0.562161,0.610771,0.650333,0.6917,0.727998,0.762688,0.800976,0.836619,0.870867,0.902961,0.93696,0.969246,1,0.970011,0.942848,0.915749,0.895597,0.874961,0.852786,0.835181,0.818855,0.800064,0.782003,0.766793,0.7535,0.736336,0.72178,0.708674,0.696463,0.684926,0.670977,0.663038,0.655168,0.644586,0.63598,0.625774,0.617283,0.606394,0.598428,0.591732,0.579076,0.573813,0.560908,0.552656,0.545966,0.53618,0.528177,0.523097,0.517297,0.511768,0.505839,0.504226,0.499332,0.492949,0.486263,0.481333,0.476974,0.469028,0.463496,0.454462,0.453244,0.450286,0.447003,0.442757,0.436429,0.431686,0.427641,0.420651,0.416317,0.410651,0.408374,0.405243,0.402508,0.395875,0.391748,0.386087,0.386289,0.383676,0.380229,0.375607,0.373747,0.37183,0.368899,0.362853,0.358856,0.353996,0.349569,0.348262,0.343535,0.339066,0.334375,0.330119,0.324091,0.321998
0.191919,0,0.212786,0.317261,0.378312,0.441155,0.498273,0.545114,0.592326,0.630281,0.671444,0.706656,0.740224,0.777658,0.813653,0.84625,0.877828,0.910345,0.940743,0.970011,1,0.972022,0.943986,0.920663,0.899381,0.876765,0.858223,0.840135,0.821173,0.802749,0.787233,0.773737,0.757758,0.743271,0.731719,0.718576,0.705436,0.691052,0.683313,0.675136,0.664188,0.655124,0.643073,0.634032,0.623114,0.615286,0.608941,0.596907,0.591579,0.57867,0.569765,0.562988,0.553291,0.545976,0.540968,0.535012,0.529367,0.522729,0.520994,0.515884,0.509188,0.502579,0.497922,0.492353,0.485192,0.479306,0.47071,0.468472,0.465488,0.462507,0.458273,0.452697,0.447959,0.443835,0.437559,0.434037,0.42827,0.426053,0.422427,0.419225,0.41295,0.407877,0.402199,0.402206,0.399768,0.396364,0.39149,0.389148,0.387227,0.384721,0.378664,0.374727,0.369028,0.365011,0.362949,0.357968,0.353535,0.34887,0.344142,0.338132,0.335692
