t,Cov0,Cov1,Cov2,Cov3,Cov4,Cov5,Cov6,Cov7,Cov8,Cov9,Cov10,Cov11,Cov12,Cov13,Cov14,Cov15,Cov16,Cov17,Cov18,Cov19,Cov20,Cov21,Cov22,Cov23,Cov24,Cov25,Cov26,Cov27,Cov28,Cov29,Cov30,Cov31,Cov32,Cov33,Cov34,Cov35,Cov36,Cov37,Cov38,Cov39,Cov40,Cov41,Cov42,Cov43,Cov44,Cov45,Cov46,Cov47,Cov48,Cov49,Cov50,Cov51,Cov52,Cov53,Cov54,Cov55,Cov56,Cov57,Cov58,Cov59,Cov60,Cov61,Cov62,Cov63,Cov64,Cov65,Cov66,Cov67,Cov68,Cov69,Cov70,Cov71,Cov72,Cov73,Cov74,Cov75,Cov76,Cov77,Cov78,Cov79,Cov80,Cov81,Cov82,Cov83,Cov84,Cov85,Cov86,Cov87,Cov88,Cov89,Cov90,Cov91,Cov92,Cov93,Cov94,Cov95,Cov96,Cov97,Cov98,Cov99
0.10101,0,0.00932379,0.0194203,0.0295297,0.0397425,0.0499569,0.0601559,0.070586,0.0815131,0.0917906,0.102873,0.103262,0.103011,0.103238,0.102569,0.103079,0.102892,0.102655,0.102616,0.102966,0.103099,0.102315,0.103177,0.103476,0.102511,0.102684,0.103287,0.103435,0.103165,0.102513,0.102472,0.101992,0.101731,0.101814,0.102653,0.102413,0.101919,0.10183,0.102156,0.102348,0.103213,0.103225,0.103598,0.103748,0.103225,0.103607,0.103917,0.10382,0.103091,0.103517,0.103745,0.103488,0.10305,0.102826,0.101915,0.101599,0.10129,0.1013,0.101998,0.101509,0.101649,0.102239,0.101939,0.101868,0.10213,0.10218,0.102441,0.101749,0.100744,0.0995537,0.0992523,0.0988877,0.0984635,0.0990608,0.0994978,0.099174,0.0989255,0.0986706,0.098801,0.099301,0.0984522,0.0976091,0.097017,0.0963929,0.0964631,0.0964249,0.0962433,0.0972306,0.0963331,0.0956097,0.0963109,0.0974972,0.0973534,0.0976766,0.0969408,0.0966411,0.0971221,0.0976965,0.0966298,0.0972732
0.111111,0,0.00937138,0.0196679,0.0297962,0.0400331,0.0503726,0.060614,0.0710545,0.0819107,0.0922435,0.103262,0.114618,0.114296,0.114506,0.114005,0.114435,0.114027,0.113731,0.113477,0.113848,0.113874,0.11322,0.114024,0.114232,0.113175,0.113206,0.113742,0.113862,0.113608,0.112881,0.112996,0.112357,0.112124,0.112265,0.113228,0.112811,0.112174,0.112001,0.112437,0.112322,0.113107,0.113054,0.113356,0.113115,0.112453,0.112654,0.112897,0.112687,0.11204,0.112425,0.112852,0.112565,0.112277,0.111968,0.111145,0.110747,0.110396,0.110602,0.111469,0.110942,0.111087,0.111493,0.111258,0.110849,0.111062,0.110973,0.11105,0.110365,0.109171,0.107824,0.107493,0.107333,0.106909,0.107714,0.108342,0.108258,0.107996,0.107983,0.108023,0.108503,0.108109,0.107039,0.106135,0.105594,0.105893,0.106009,0.105613,0.106588,0.105687,0.104813,0.105767,0.107014,0.106921,0.106832,0.106067,0.10561,0.105804,0.106848,0.10569,0.1065
0.121212,0,0.00934763,0.0197334,0.0299093,0.0401786,0.0503959,0.060628,0.0712613,0.0818179,0.0921078,0.103011,0.114296,0.125215,0.125376,0.124929,0.125423,0.12504,0.124608,0.124561,0.125012,0.125094,0.124427,0.125373,0.125657,0.124514,0.124789,0.125435,0.125383,0.125101,0.124578,0.124886,0.124316,0.124054,0.124233,0.12503,0.124528,0.124136,0.123881,0.124471,0.124352,0.125219,0.125085,0.125535,0.12488,0.124165,0.124367,0.124642,0.12457,0.123992,0.124314,0.124799,0.124168,0.123768,0.123271,0.122327,0.122009,0.121611,0.121943,0.12268,0.122368,0.122379,0.122797,0.122416,0.121741,0.121741,0.121698,0.121825,0.121211,0.120046,0.118691,0.118227,0.117913,0.117926,0.118803,0.119495,0.11976,0.119614,0.119567,0.119488,0.119673,0.119366,0.118002,0.117085,0.1166,0.116846,0.116711,0.11654,0.117531,0.11664,0.115666,0.116931,0.11835,0.118292,0.118212,0.117375,0.117247,0.117212,0.118097,0.11705,0.117872
0.131313,0,0.00937468,0.0198828,0.0301472,0.0405558,0.0507171,0.0610097,0.0715077,0.0820753,0.0923691,0.103238,0.114506,0.125376,0.137001,0.136454,0.136818,0.136557,0.136241,0.136089,0.136816,0.137062,0.136144,0.137077,0.137413,0.136575,0.136535,0.137324,0.137046,0.136785,0.136409,0.136772,0.135899,0.135418,0.135653,0.136373,0.135905,0.135841,0.13567,0.136281,0.135842,0.136498,0.136628,0.136869,0.136339,0.13584,0.136173,0.136419,0.13666,0.135915,0.136178,0.136668,0.13605,0.136013,0.135485,0.134492,0.134525,0.134195,0.134602,0.135594,0.135513,0.135772,0.136084,0.135852,0.135166,0.134922,0.134986,0.134905,0.134209,0.133055,0.131815,0.131492,0.131188,0.131258,0.131741,0.132571,0.132906,0.132472,0.13212,0.132008,0.131972,0.131427,0.130183,0.129414,0.129119,0.129139,0.128759,0.128344,0.129524,0.128535,0.127579,0.128611,0.129878,0.130057,0.130286,0.129554,0.129387,0.129255,0.130275,0.129075,0.130098
0.141414,0,0.00950114,0.0199251,0.0301049,0.0404302,0.0505486,0.0608369,0.0711506,0.0816285,0.0916845,0.102569,0.114005,0.124929,0.136454,0.14727,0.14767,0.147383,0.147088,0.146873,0.147533,0.147887,0.147083,0.148121,0.148789,0.148097,0.148084,0.149066,0.148842,0.148254,0.147554,0.148098,0.147126,0.146827,0.14733,0.148113,0.14767,0.14741,0.14717,0.14785,0.147321,0.147849,0.148374,0.148318,0.147815,0.147262,0.147558,0.148004,0.148114,0.148045,0.148269,0.148657,0.148086,0.147981,0.147541,0.146356,0.146347,0.145892,0.146469,0.147902,0.147762,0.147922,0.148551,0.148548,0.147819,0.147428,0.147321,0.146954,0.146069,0.14492,0.144216,0.143882,0.143377,0.143375,0.14369,0.144629,0.145313,0.144475,0.144012,0.143579,0.143633,0.142855,0.14165,0.140396,0.139945,0.13973,0.139427,0.139158,0.140164,0.138982,0.137781,0.138935,0.140519,0.140629,0.140742,0.139927,0.139792,0.139527,0.140504,0.13908,0.139898
0.151515,0,0.00967277,0.0201404,0.0304091,0.0408718,0.0510724,0.0613037,0.071694,0.0821443,0.0923446,0.103079,0.114435,0.125423,0.136818,0.14767,0.159907,0.159446,0.159168,0.158685,0.15947,0.15984,0.15878,0.159698,0.160348,0.159414,0.159163,0.160198,0.160025,0.159142,0.158233,0.158863,0.157591,0.157537,0.158097,0.158783,0.158111,0.157734,0.157286,0.158052,0.157461,0.157992,0.158633,0.158565,0.157906,0.157075,0.157363,0.157947,0.158059,0.158025,0.158027,0.15852,0.157899,0.157766,0.1573,0.155969,0.155926,0.155497,0.156049,0.157658,0.157687,0.157405,0.158188,0.158013,0.157218,0.156818,0.156362,0.155906,0.155088,0.154073,0.153322,0.152612,0.151756,0.151835,0.152527,0.153424,0.153802,0.153106,0.152872,0.152686,0.152951,0.151864,0.15065,0.149075,0.148767,0.148902,0.148842,0.148403,0.149169,0.14756,0.145994,0.147244,0.148806,0.148838,0.149028,0.148149,0.148392,0.148328,0.149263,0.147344,0.147952
0.161616,0,0.00968764,0.0202517,0.030415,0.0410064,0.0512774,0.0612369,0.071722,0.082221,0.0923096,0.102892,0.114027,0.12504,0.136557,0.147383,0.159446,0.171121,0.17079,0.170336,0.171078,0.171604,0.170377,0.171347,0.172002,0.170702,0.170455,0.171577,0.171512,0.170703,0.169967,0.170628,0.169191,0.169049,0.169683,0.17033,0.169824,0.169226,0.168842,0.169485,0.16901,0.169396,0.169883,0.169868,0.169308,0.168891,0.169187,0.169866,0.169923,0.16961,0.169492,0.169928,0.169392,0.169227,0.1686,0.167564,0.167604,0.16704,0.167433,0.169103,0.168687,0.168417,0.169042,0.16871,0.167951,0.167411,0.166825,0.166483,0.165417,0.164395,0.164017,0.163227,0.162226,0.162161,0.16289,0.163712,0.163975,0.163189,0.162779,0.162848,0.163008,0.161968,0.160773,0.159174,0.158948,0.158778,0.158609,0.158219,0.158821,0.157432,0.155806,0.157377,0.158881,0.158818,0.159233,0.158472,0.158555,0.158681,0.159545,0.157472,0.158143
0.171717,0,0.00970108,0.0202969,0.0301906,0.040818,0.051423,0.0615096,0.0719149,0.0822196,0.0921017,0.102655,0.113731,0.124608,0.136241,0.147088,0.159168,0.17079,0.18212,0.18178,0.182383,0.182991,0.181682,0.18259,0.183089,0.181695,0.181584,0.182888,0.18281,0.182117,0.181148,0.181518,0.180048,0.179875,0.180639,0.181454,0.181236,0.180553,0.179717,0.180522,0.17979,0.180161,0.180985,0.181075,0.180639,0.180108,0.180633,0.181192,0.181158,0.180735,0.180629,0.181007,0.180164,0.17995,0.17984,0.178807,0.178778,0.178137,0.178644,0.180233,0.179727,0.179663,0.180506,0.180272,0.179822,0.179257,0.178658,0.178378,0.177326,0.176494,0.176167,0.175326,0.174067,0.173968,0.175061,0.175943,0.176316,0.175414,0.175309,0.175493,0.175541,0.174564,0.173303,0.171615,0.171856,0.171608,0.171371,0.170942,0.172054,0.170339,0.16878,0.170682,0.172098,0.172189,0.172835,0.172051,0.172284,0.172927,0.173888,0.171976,0.172747
0.181818,0,0.00965848,0.0202285,0.0300726,0.0406854,0.0511326,0.0611951,0.0716957,0.0819419,0.0921316,0.102616,0.113477,0.124561,0.136089,0.146873,0.158685,0.170336,0.18178,0.193138,0.193662,0.194182,0.192898,0.194095,0.194802,0.193411,0.193308,0.194755,0.194528,0.193894,0.192745,0.193107,0.191773,0.191852,0.19269,0.193467,0.193122,0.192897,0.192047,0.193098,0.192373,0.192671,0.193222,0.193027,0.192473,0.192109,0.192955,0.193895,0.193626,0.193016,0.192911,0.193251,0.192722,0.192553,0.19222,0.191224,0.191209,0.190302,0.191148,0.193151,0.192586,0.192888,0.193717,0.193493,0.193142,0.192628,0.191857,0.19158,0.190751,0.189747,0.189378,0.188277,0.187,0.186796,0.187495,0.188169,0.18867,0.187923,0.187545,0.187681,0.187685,0.186934,0.185343,0.183605,0.18423,0.183956,0.183671,0.183056,0.184364,0.182859,0.181508,0.183653,0.184697,0.18502,0.185698,0.184842,0.185466,0.186434,0.187148,0.185492,0.185971
0.191919,0,0.00970816,0.0202194,0.0301427,0.0406735,0.0513492,0.0613402,0.0718749,0.0820929,0.092449,0.102966,0.113848,0.125012,0.136816,0.147533,0.15947,0.171078,0.182383,0.193662,0.206381,0.206941,0.20555,0.206255,0.20699,0.205554,0.205339,0.206553,0.206393,0.205749,0.204555,0.20498,0.204006,0.204226,0.205664,0.206339,0.205612,0.205367,0.204593,0.205692,0.204906,0.205162,0.205258,0.204949,0.204448,0.20418,0.205261,0.206604,0.206351,0.205842,0.205589,0.205995,0.205578,0.205753,0.20549,0.204441,0.204453,0.203286,0.204164,0.206281,0.205638,0.206082,0.20715,0.206466,0.206535,0.205915,0.205417,0.204694,0.20384,0.202948,0.202623,0.201879,0.200592,0.200407,0.201607,0.202793,0.2034,0.202669,0.20209,0.202067,0.202381,0.201192,0.199588,0.197616,0.19843,0.198227,0.197892,0.197026,0.198472,0.197133,0.195803,0.198242,0.199031,0.199707,0.200054,0.199101,0.1999,0.201075,0.201676,0.200053,0.200417
